id_codigo_intituicao;nome_da_ies
112;CENTRO UNIVERSITÁRIO FADERGS
113;FACULDADE IDEAU DE PASSO FUNDO
114;CENTRO UNIVERSITÁRIO UNINOVAFAPI
115;FACULDADE CESUMAR
116;CENTRO UNIVERSITÁRIO FANOR WYDEN
117;FACULDADE DE TECNOLOGIA DO AMAPÁ
118;FACULDADE ANHANGUERA DE JUNDIAÍ
119;FACULDADE ANHANGUERA DE NEGÓCIOS E TECNOLOGIAS DA INFORMAÇÃO
120;FACULDADE ANHANGUERA DE RIBEIRÃO PRETO
121;UNIVERSIDADE ANHANGUERA
122;CENTRO UNIVERSITÁRIO OPET
123;FACULDADE IMPACTA DE TECNOLOGIA
124;FACULDADE INSPIRAR
125;CENTRO UNIVERSITÁRIO FBV WYDEN
126;FACULDADE ANHANGUERA DE PELOTAS
127;CENTRO UNIVERSITÁRIO RUY BARBOSA WYDEN
128;FACULDADE INTEGRAL DIFERENCIAL WYDEN
129;FACULDADE ANHANGUERA JARAGUÁ DO SUL
130;FACULDADE PITÁGORAS DE IPATINGA
131;CENTRO UNIVERSITÁRIO ANHANGUERA DE NITERÓI
132;CENTRO UNIVERSITÁRIO UNIC
133;FACULDADE DE TECNOLOGIA E CIÊNCIAS DE JEQUIE
134;FACULDADE ESTÁCIO DA PARAÍBA
135;FACULDADES INTEGRADAS PADRÃO
136;CENTRO UNIVERSITÁRIO CATÓLICA DE QUIXADÁ
137;FACULDADE UNIRB - CAMAÇARI
138;CENTRO UNIVERSITÁRIO NOSSA SENHORA DO PATROCÍNIO
139;FACULDADE  PITÁGORAS
140;FACULDADE PITÁGORAS DE LONDRINA
141;FACULDADE DE RONDONÓPOLIS
142;CENTRO UNIVERSITÁRIO CAMBURY
143;CENTRO UNIVERSITÁRIO SUDOESTE PAULISTA
144;UNIVERSIDADE DE CUIABÁ
145;FACULDADE UNIME DE CIÊNCIAS JURÍDICAS
146;CENTRO UNIVERSITÁRIO ESTÁCIO DE BELO HORIZONTE - ESTÁCIO BH
147;FACULDADE IBMEC
148;CENTRO UNIVERSITÁRIO PARA O DESENVOLVIMENTO DO ALTO VALE DO ITAJAÍ
149;FACULDADE DO SUL
150;CENTRO UNIVERSITÁRIO DO PIAUÍ
151;FACULDADE DO PANTANAL MATOGROSSENSE
152;CENTRO UNIVERSITÁRIO META
153;FACULDADE DE ADMINISTRAÇÃO DE EMPRESAS
154;CENTRO UNIVERSITÁRIO METROPOLITANO DE MARINGÁ
155;INSTITUTO DE ENSINO SUPERIOR DO ACRE
156;FACULDADE ANHANGUERA DE SOROCABA
157;FACULDADE PITÁGORAS DE BACABAL
158;CENTRO UNIVERSIÁRIO UNIFTC
159;FACULDADE ANHANGUERA DE JACAREÍ
160;FACULDADE UNIRB - MOSSORÓ
161;UNIVERSIDADE CESUMAR
162;FACULDADE ESTÁCIO DE CURITIBA
163;FACULDADE DOCTUM DE MANHUAÇU - DOCTUM
164;FACULDADE DE DESENVOLVIMENTO DO NORTE
165;CENTRO UNIVERSITÁRIO IBMR
166;FACULDADE DE CIÊNCIAS ECONÔMICAS
167;FACULDADE PRESIDENTE ANTÔNIO CARLOS DE UBÁ
168;CENTRO UNIVERSITÁRIO CAMPO REAL
169;FACULDADE EDUCACIONAL DE PONTA GROSSA
170;INSTITUTO DE ENSINO SUPERIOR DE FOZ DO IGUAÇU
171;FACULDADE PITÁGORAS DE SÃO LUIZ
172;CENTRO UNIVERSITÁRIO JOAQUIM NABUCO DE RECIFE
173;CENTRO UNIVERSITÁRIO JOAQUIM NABUCO DE PAULISTA
174;CENTRO UNIVERSITÁRIO ANHANGUERA DE SANTO ANDRÉ
175;CENTRO UNIVERSITÁRIO PAULISTANO
176;CENTRO UNIVERSITÁRIO ANHANGUERA DE SANTO ANDRE
177;CENTRO UNIVERSITÁRIO FACID WYDEN
178;CENTRO UNIVERSITÁRIO UNIFAS
179;FACULDADE DE SORRISO
180;CENTRO UNIVERSITÁRIO DA REGIÃO DA CAMPANHA
181;UNIVERSIDADE DE VASSOURAS
182;CENTRO UNIVERSITÁRIO FUNDAÇÃO DE ENSINO OCTÁVIO BASTOS - FEOB
183;FACULDADE DE ADMINISTRAÇÃO DE ITABIRITO
184;CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DE MACEIÓ
185;UNIVERSIDADE UNIVERSUS VERITAS GUARULHOS
186;FACULDADE UNIRB - SALVADOR
187;FACULDADE GALILEU
188;CENTRO UNIVERSITÁRIO MÓDULO
189;FACULDADE ANÍSIO TEIXEIRA DE FEIRA DE SANTANA
190;FACULDADE VITORIANA DE CIÊNCIAS CONTÁBEIS
191;FACULDADE UNIME DE CIÊNCIAS SOCIAIS
192;FACULDADE SANTA MARCELINA
193;IPOG - INSTITUTO DE PÓS-GRADUAÇÃO & GRADUAÇÃO
194;CENTRO UNIVERSITÁRIO DO ESTADO DO PARÁ
195;CENTRO UNIVERSITÁRIO TERESA D'ÁVILA
196;FACULDADES INTEGRADAS DE ARACRUZ
197;FACULDADE UNIRB - PIAUÍ
198;FACULDADE ESTÁCIO DE TERESINA
199;FACULDADE VITORIANA DE TECNOLOGIA
200;FACULDADE DOS CARAJÁS
201;INSTITUTO DE ENSINO SUPERIOR E FORMAÇÃO AVANÇADA DE VITÓRIA
202;INSTITUTO SUPERIOR DE EDUCAÇÃO DE CAXIAS
203;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE MACAE
204;FACULDADE ESTÁCIO DE CARAPICUÍBA
205;FACULDADE ANHANGUERA DE TAGUATINGA
206;CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS
207;FACULDADE REBOUÇAS DE CAMPINA GRANDE
208;FACULDADE EVOLUÇÃO ALTO OESTE POTIGUAR
209;FACULDADE FACCAT
210;UNIVERSIDADE DE ARARAQUARA
211;FACULDADE SÃO PAULO DE PRESIDENTE VENCESLAU
212;CENTRO UNIVERSITÁRIO PRESIDENTE ANTÔNIO CARLOS
213;FACULDADE UNINASSAU ALIANÇA - REDENÇÃO
214;CENTRO UNIVERSITÁRIO FAI
215;UNIVERSIDADE DE RIBEIRÃO PRETO
216;FACULDADE DOCTUM DE JOÃO MONLEVADE
217;FACULDADE DO NORDESTE DA BAHIA
218;FACULDADE UNINASSAU NATAL
219;CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DE SALVADOR
220;FACULDADE UNINASSAU VITÓRIA DA CONQUISTA
221;CENTRO UNIVERSITÁRIO DO VALE DO IGUAÇU
222;FACULDADE SANTA MARCELINA MURIAE - FASM
223;INSTITUTO DE EDUCAÇÃO SUPERIOR RAIMUNDO SÁ
224;FACULDADE ALDETE MARIA ALVES
225;FACULDADE SÃO SALVADOR
226;FACULDADE DE BOTUCATU
227;FACULDADE DE SÃO VICENTE
228;INSTITUTO SUPERIOR DE EDUCAÇÃO IBITURUNA
229;FACULDADE SÃO FRANCISCO DA PARAÍBA
230;FACULDADE DE CIÊNCIAS MEDICAS AGGEU MAGALHÃES
231;CENTRO UNIVERSITÁRIO SÃO JOSÉ
232;FACULDADE SANTA RITA DE CÁSSIA
233;FACULDADE DE CIÊNCIAS E TECNOLOGIAS DE CAMPOS GERAIS
234;CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DE TERESINA
235;FACULDADE UNINASSAU JOÃO PESSOA
236;FACULDADE SERRA DA MESA
237;FACULDADE PROMOVE DE SETE LAGOAS
238;FACULDADE UNINASSAU PARNAÍBA
239;FACULDADE DE TECNOLOGIA FAESA
240;CENTRO UNIVERSITARIO AVANTIS
241;FACULDADE PRINCESA DO OESTE
242;FACULDADE GUARAÍ
243;CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DE CAMPINA GRANDE
244;FACULDADE ALFREDO NASSER DE REMANSO
245;CENTRO UNIVERSITÁRIO CHRISTUS
246;FACULDADE REGIONAL DE RIACHÃO DO JACUÍPE
247;CENTRO UNIVERSITÁRIO DE ARARAS -
248;FACULDADE EDUCACIONAL DE FRANCISCO BELTRÃO
249;FACULDADE TERRA NORDESTE
250;CENTRO UNIVERSITÁRIO SUMARE
251;FACULDADES INTEGRADAS CAMPOS SALLES
252;FACULDADE DE ENGENHARIA E INOVAÇÃO TECNICO PROFISSI
253;FACULDADE LS
254;FACULDADE CRISTO REI
255;FACULDADE DE ODONTOLOGIA DO NORTE DE MINAS
256;CENTRO UNIVERSITÁRIO CENTRAL PAULISTA
257;FACULDADE ENAU
258;FACULDADE UNINABUCO SÃO LOURENÇO DA MATA
259;FACULDADE DE ENSINO SUPERIOR DE MARECHAL CÃNDIDO RONDON
260;CENTRO UNIVERSITÁRIO DANTE
261;FACULDADE DA ESCADA
262;FACULDADE VALE DO AÇO
263;FACULDADE DE EDUCAÇÃO DE COSTA RICA
264;FACULDADES DOCTUM DE IPATINGA
265;CENTRO UNIVERSITÁRIO ESTÁCIO DE SÃO LUÍS
266;FACULDADE CATÓLICA IMACULADA CONCEIÇÃO DO RECIFE
267;UNIVERSIDADE DA AMAZÔNIA
268;FACULDADES MAGSUL
269;INSTITUTO DE ENSINO SUPERIOR SANTO ANTÔNIO
270;FACULDADE SUL-AMERICANA
271;FACULDADE AMERICA
272;FACULDADE UNINASSAU ARACAJU
273;FACULDADE ESAMC CAMPINAS
274;FACULDADE ESAMC JUNDIAÍ
275;FACULDADE DE TECNOLOGIA EM HOTELARIA, GASTRONOMIA E TURISMO DE SÃO PAULO
276;FACULDADE ESAMC SÃO PAULO - ESAMC
277;CENTRO UNIVERSITÁRIO UNIFACIG
278;FACULDADE ESPECIALIZADA NA ÁREA DE SAÚDE DO RIO GRANDE DO SUL
279;FACULDADE DE EDUCAÇÃO CIÊNCIAS E ARTES DOM BOSCO DE MONTE APRAZÍVEL
280;FACULDADE SANTO ANTÔNIO DE PÁDUA
281;FACULDADE SANTA MARIA
282;FACULDADES PEQUENO PRÍNCIPE
283;FACULDADE DOCTUM DE SERRA
284;FACULDADE UNINASSAU SÃO LUÍS
285;FACULDADE BAIANA DE DIREITO E GESTÃO
286;CENTRO DE ENSINO SUPERIOR DO VALE DO PARNAÍBA
287;FACULDADE EMPRESARIAL DE CHAPECÓ
288;CENTRO UNIVERSITÁRIO DE CIÊNCIAS E TECNOLOGIA DO MARANHÃO
289;CENTRO UNIVERSITÁRIO DE PAULÍNIA
290;ATOPP BRASIL FACULDADE DE NEGÓCIOS
291;FACULDADE FAMART
292;CENTRO UNIVERSITÁRIO DA AMAZÔNIA
293;CENTRO DE ENSINO SUPERIOR DE ILHEUS
294;FACULDADE UNINASSAU BELÉM
295;UNIVERSIDADE DE PASSO FUNDO
296;FACULDADE LUTERANA RUI BARBOSA
297;FACULDADE DE MEDICINA DE OLINDA
298;FACULDADE SÃO FRANCISCO DE ASSIS
299;FACULDADE TRÊS DE MAIO
300;FACULDADE PERNAMBUCANA DE SAÚDE
301;FACULDADE ALFREDO NASSER
302;CENTRO UNIVERSITÁRIO BARÃO DE MAUÁ
303;CENTRO UNIVERSITÁRIO DE LAVRAS
304;FACULDADE DE TELÊMACO BORBA
305;CENTRO UNIVERSITÁRIO DOM PEDRO II
306;FACULDADE SATC
307;UNIVERSIDADE DE UBERABA
308;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO
309;CENTRO UNIVERSITÁRIO SETE DE SETEMBRO
310;FACULDADE DA CIDADE DE MACEIÓ
311;INSTITUTO DE ENSINO SUPERIOR DE ALAGOAS
312;FACULDADE LA SALLE
313;UNIVERSIDADE DE CRUZ ALTA
314;CENTRO UNIVERSITÁRIO SAÚDE ABC
315;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE ITUVERAVA
316;FACULDADE DO MARANHÃO
317;FACULDADE UNINASSAU PARNAMIRIM
318;FACULDADE TORRICELLI
319;FACULDADE INSTITUTO PAULISTA DE ENSINO
320;FACULDADE DE CIÊNCIAS E TECNOLOGIA DA BAHIA
321;FACULDADE PARANAENSE
322;FACULDADE SÃO FRANCISCO DO CEARÁ
323;FACULDADE IDEAL DE BRASÍLIA
324;FACULDADE DE RONDAMAZÔNIANIA
325;CENTRO UNIVERSITÁRIO UNIVERSUS VERITAS
326;FACULDADE DE TECNOLOGIA ALFA DE UMUARAMA
327;FACULDADES INTEGRADAS DE RONDONÓPOLIS
328;FACULDADE UNIDA DE VITÓRIA
329;FACULDADE NOVA ROMA
330;CENTRO UNIVERSITÁRIO DO RIO SÃO FRANCISCO UNIRIOS
331;ESCOLA SUPERIOR DE EMPREENDEDORISMO SEBRAE-SP
332;FACULDADE DE AMPERE
333;FACULDADE DO TRABALHO
334;CENTRO UNIVERSITÁRIO UNIFACEAR
335;FACULDADE  SÃO JOAQUIM DA BARRA
336;INSTITUTO SUPERIOR DE EDUCAÇÃO DO SUL DO PIAUÍ
337;UNIÃO LATINO-AMERICANA DE TECNOLOGIA
338;FACULDADE DAMAS DA INSTRUÇÃO CRISTÃ
339;INSTITUTO SUPERIOR DE EDUCAÇÃO DE SÃO PAULO
340;INSTITUTO SUPERIOR DE EDUCAÇÃO DE CAJAZEIRAS
341;FACULDADE NOVOESTE
342;FACULDADE DEHONIANA
343;FACULDADE CÃNDIDO RONDON
344;FACULDADE CAPIVARI
345;FACULDADE CONCÓRDIA
346;FACULDADE WENCESLAU BRAZ
347;FACULDADE SINOP
348;CENTRO UNIVERSITÁRIO SALESIANO DE SÃO PAULO
349;FACULDADE UNIT·
350;FACULDADE FOZ DO IGUAÇU
351;CENTRO UNIVERSITÁRIO NATALENSE
352;CENTRO UNIVERSITÁRIO UBAENSE OZANAM COELHO
353;FACULDADE DE DIREITO MILTON CAMPOS
354;FACULDADE DE ADMINISTRAÇÃO E ARTES DE LIMEIRA
355;FACULDADE ITEANA DE BOTUCATU
356;FACULDADE SERRA DOURADA
357;FACULDADE DE TECNOLOGIA DO VALE DO IVAÍ
358;FACULDADE UNIDA DE CAMPINAS
359;FACULDADE EDUCACIONAL DE ARAPOTI
360;UNIÃO DAS FACULDADES DOS GRANDES LAGOS
361;FACULDADE UNIDA DE CAMPINAS GOIÃNIA - FACUNICAMPS GOIÃNIA
362;FACULDADE UBERLANDENSE DE NÚCLEOS INTEGRADOS DE ENSINO, SERVIÇO SOCIAL E APRENDIZAGEM
363;INSTITUIÇÃO DE ENSINO SUPERIOR DE CACOAL
364;FACULDADE DE INFORMÁTICA E ADMINISTRAÇÃO PAULISTA
365;FACULDADE FASIPE
366;CENTRO UNIVERSITÁRIO DOUTOR LEÇO SAMPAIO
367;FACULDADES ASSOCIADAS DE UBERABA - FAZU
368;FACULDADES INTEGRADAS DE PONTA PORÃ
369;FACULDADE CUIABÁ
370;CENTRO UNIVERSITÁRIO DE BAURU
371;FACULDADES INTEGRADAS DE TRÊS LAGOAS
372;INSTITUTO SUPERIOR DE EDUCAÇÃO IVOTI
373;FACULDADE AUM
374;FACULDADE DE DIREITO SERRA DOURADA
375;FACULDADE DE TECNOLOGIA E CIENCIAS DO NORTE DO PARANÁ
376;INSTITUTO SERRA DOURADA
377;FACULDADE DO VALE DO ITAPECURÚ
378;FACULDADE MERIDIONAL RS
379;FATECE - FACULDADE DE TECNOLOGIA, CIÊNCIAS E EDUCAÇÃO
380;FAI - CENTRO DE ENSINO SUPERIOR EM GESTÃO, TECNOLOGIA E EDUCAÇÃO
381;FACULDADE ARI DE SÁ
382;INSTITUTO DE ENSINO SUPERIOR DA GRANDE FLORIANÓPOLIS
383;CENTRO UNIVERSITÁRIO RITTER DOS REIS
384;INSTITUTO DE ENSINO SUPERIOR MÚLTIPLO
385;CENTRO UNIVERSITÁRIO FACOL
386;FACULDADE DE ENSINO SUPERIOR DA CIDADE DE FEIRA DE SANTANA
387;FACULDADE SANTA RITA
388;FACULDADE DELTA
389;FACULDADES INTEGRADAS DESEMBARGADOR SÁVIO BRANDÃO
390;CENTRO UNIVERSITÁRIO UNISEP
391;INSTITUTO PERNAMBUCANO DE ENSINO SUPERIOR
392;CENTRO UNIVERSITÁRIO DO ESPÍRITO SANTO
393;FACULDADE VALE DO SALGADO
394;FACULDADE DE DESENVOLVIMENTO DAS CIÊNCIAS E HUMANIDADES
395;INSTITUTO TAUBATE DE ENSINO SUPERIOR
396;CENTRO DE ENSINO SUPERIOR DE PALMAS
397;CENTRO UNIVERSITÁRIO DA FUNDAÇÃO EDUCACIONAL INACIANA PE SABÓIA DE MEDEIROS
398;FAE CENTRO UNIVERSITÁRIO
399;FACULDADE DE TECNOLOGIA DE SÃO VICENTE
400;FACULDADE DO ESPÍRITO SANTO
401;CENTRO UNIVERSITÁRIO DA FUNDAÇÃO HERMINIO OMETTO
402;CENTRO UNIVERSITÁRIO FILADELFIA
403;CENTRO UNIVERSITÁRIO DO NORTE
404;UNIVERSIDADE DE MOGI DAS CRUZES
405;FACULDADE COTEMIG
406;FACULDADE DE COMPUTAÇÃO DE MONTES CLAROS
407;FACULDADE FASIPE MATO GROSSO
408;CENTRO UNIVERSITÁRIO TOLEDO
409;CENTRO UNIVERSITÁRIO FARIAS BRITO
410;FACULDADES INTEGRADAS IESGO
411;FACULDADE REFIDIM
412;FACULDADE DOUTOR FRANCISCO MAEDA
413;FACULDADE MADRE THAIS
414;ESCOLA SUPERIOR DE ADMINISTRAÇÃO E GESTÃO STRONG
415;FACULDADE ÚNICA DE TIMÓTEO
416;FACULDADE DE AGUDOS
417;CENTRO UNIVERSITARIO PROJEÇÃO
418;FACULDADE DE CIÊNCIAS E TECNOLOGIA DE UNAÍ - FACTU
419;FACULDADE SETE LAGOAS
420;FACULDADE DE TECNOLOGIA DE HORIZONTE
421;FACULDADE DE JUAZEIRO DO NORTE
422;FACULDADE PROJEÇÃO DO GUARÁ
423;FACULDADE PROJEÇÃO DE CEILÃNDIA
424;CENTRO UNIVERSITÁRIO FG
425;ESCOLA SUPERIOR SÃO FRANCISCO DE ASSIS
426;FACULDADE IRECÊ
427;FACULDADE DE TALENTOS HUMANOS
428;FACULDADE DA AMAZÔNIA DE MARABÁ
429;FACULDADE UNINASSAU GARANHUNS
430;FACULDADE FUCAPE
431;CENTRO UNIVERSITÁRIO MÁRIO PALMERIO
432;FACULDADE MERIDIONAL DE PORTO ALEGRE
433;FACULDADE FASIPE CUIABÁ
434;FACULDADE ÚNICA DE CONTAGEM
435;FACULDADE ALIS DE ITABIRITO
436;FACULDADE MORGANA POTRICH
437;FACULDADE DA AMAZÔNIA DE PORTO VELHO
438;FACULDADE DE CIÊNCIAS E EDUCAÇÃO SENA AIRES
439;FACULDADE UNINASSAU MARACANAÚ
440;CENTRO UNIVERSITÁRIO DAS AMERICAS
441;FACULDADE ESTÁCIO DE CASTANHAL
442;FACULDADE TRÊS MARIAS
443;FACULDADE ESAMC UBERLÃNDIA
444;UNIVERSIDADE DO VALE DO RIO DOS SINOS
445;UNIVERSIDADE DE SANTA CRUZ DO SUL
446;FACULDADE PIO DECIMO
447;CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO
448;FACULDADE DE CIÊNCIAS APLICADAS PIAUIENSE
449;UNIVERSIDADE LA SALLE
450;CENTRO UNIVERSITÁRIO NEWTON PAIVA
451;CENTRO DE ENSINO SUPERIOR DE JUIZ DE FORA
452;UNIVERSIDADE PARANAENSE
453;FACULDADE CAPIXABA DE NOVA VENECIA
454;FACULDADE PRAIA GRANDE
455;ESCOLA DE ENSINO SUPERIOR DO AGRESTE PARAIBANO
456;SOBERANA FACULDADE DE SAÚDE DE PETROLINA
457;FACULDADE UNINASSAU MOSSORÓ
458;FACULDADES DE CIÊNCIAS E TECNOLOGIA DO NORDESTE LTDA
459;FACULDADE CIÊNCIAS DA VIDA
460;FACULDADE INSTITUTO BRASIL DE ENSINO - IBRA
461;FACULDADE UNINASSAU JUAZEIRO DO NORTE
462;FACULDADE XV DE AGOSTO
463;FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DE BELO HORIZONTE
464;UNIVERSIDADE DE CAXIAS DO SUL
465;ESCOLA SUPERIOR DE CIÊNCIAS DA SANTA CASA DE MISERICÓRDIA DE VITÓRIA
466;CENTRO UNIVERSITÁRIO UNIÃO DAS AMERICAS
467;CENTRO UNIVERSITÁRIO SÃO JUDAS TADEU
468;UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES
469;CENTRO UNIVERSITÁRIO UNA DE UBERLÃNDIA
470;UNETRI FACULDADES
471;FACULDADE DE COLINAS DO TOCANTINS
472;FACULDADE CATÓLICA PAULISTA
473;CENTRO UNIVERSITÁRIO UNIHORIZONTES
474;CENTRO UNIVERSITÁRIO DO SUL DE MINAS
475;CENTRO UNIVERSITÁRIO CARLOS DRUMMOND DE ANDRADE
476;FACULDADE UNIRB - FORTALEZA
477;FACULDADE DE ENGENHARIA DE MINAS GERAIS - FEAMIG
478;FACULDADE DE TECNOLOGIA PORTO SUL
479;UNIVERSIDADE CATÓLICA DE SANTOS
480;FACULDADE SÃO BRAZ
481;CENTRO UNIVERSITÁRIO DINÃMICA DAS CATARATAS
482;FACULDADE PROJEÇÃO DE SOBRADINHO
483;FACULDADE METROPOLITANA DE CAMAÇARI
484;FACULDADE METROPOLITANA
485;FACULDADE IDEAU DE GETÚLIO VARGAS
486;FACULDADE DE DIREITO DE ITÚ
487;FACULDADE GUAIRACÁ
488;FACULDADE BIRIGUI
489;CENTRO UNIVERSITÁRIO MOURA LACERDA
490;FACULDADE DOM PEDRO II DE BARREIRAS
