id_curso;nome_curso
165;ENGENHARIA DE ROBAMAZÔNIAS
166;NEGÓCIOS IMOBILIÁRIOS
167;PRODUÇÃO DE CACAU E CHOCOLATE
168;MINISTERIO PASTORAL
169;NEGÓCIOS INTERNACIONAIS
170;ESTETICA
171;GESTÃO DE PRODUÇÃO INDUSTRIAL
172;ENGENHARIA
173;MÚSICA - CANTO
174;GESTÃO DE TURISMO
175;SERVIÇOS JURÍDICOS
176;LETRAS - ESPANHOL
177;FARMÁCIA E BIOQUÍMICA
178;TRADUÇÃO E INTERPRETAÇÃO
179;CINEMA E AUDIOVISUAL
180;COMUNICAÇÃO SOCIAL - RADIO E TELEVISÃO
181;MÚSICA - CORDAS
182;COMUNICAÇÃO E MARKETING
183;ARTES E MÍDIAS DIGITAIS
184;GESTÃO DE COOPERATIVAS
185;ENGENHARIA AERONÁUTICA E ESPAÇO
186;ENGENHARIA AERONÁUTICA
187;AVIAÇÃO CIVIL
188;CIÊNCIAS SOCIAIS
189;SECRETARIADO EXECUTIVO BILINGUE - PORTUGUÊS/INGLÊS
190;ONTOPSICOLOGIA
191;ARTES
192;MEDIAÇÃO
193;GESTÃO DESPORTIVA E DE LAZER
194;TEATRO
195;CIÊNCIA DE DADOS
196;ESTETICA E COSMETOLOGIA
197;ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA
198;PETRÓLEO E GÁS
199;GESTÃO DA AVALIAÇÃO
200;SOLDAGEM
201;SERVIÇOS JURÍDICOS, NOTARIAS E DE REGISTRO
202;EDUCAÇÃO ARTÍSTICA
203;LETRAS - LÍNGUA INGLESA
204;EMPREENDEDORISMO
205;FÍSICA MEDICA
206;ESTETICA E IMAGEM PESSOAL
207;QUÍMICA INDUSTRIAL
208;DANÇA
209;GESTÃO DE EQUINOCULTURA
210;ENGENHARIA DE BIOPROCESSOS E BIOTECNOLOGIA
211;DESIGN DE ANIMAÇÃO
212;CRIMINOLOGIA
213;ENGENHARIA ELETRAMAZÔNIANICA
214;COMUNICAÇÃO SOCIAL - CINEMA
215;ARTES CÊNICAS
216;AUDIOVISUAL
217;ENGENHARIA CIVIL E AMBIENTAL
218;TECNÓLOGO EM METALURGIA
219;MÚSICA - MÚSICA POPULAR BRASILEIRA
220;MÍDIAS DIGITAIS
221;GESTÃO DE AGRONEGÓCIOS
222;ELETRAMAZÔNIANICA INDUSTRIAL
223;SECRETARIADO EXECUTIVO
224;REFRIGERAÇÃO E CLIMATIZAÇÃO
225;BIOCOMBUSTÍVEIS
226;ENGENHARIA DE PESCA
227;OPTOMETRIA
228;AQUICULTURA
229;QUIROPRAXIA
230;MANUTENÇÃO INDUSTRIAL
231;MECATRÔNICA INDUSTRIAL
232;ENGENHARIA FLORESTAL
233;INFORMÁTICA
234;ENGENHARIA INDUSTRIAL MECÂNICA
235;SERVIÇOS REGISTRAIS E NOTARIAIS
