id_municipio;municipio
275;BALNEÁRIO RINCÃO
276;ARARANGUA
277;SANTO ANTONIO DO DESCOBERTO
278;MATRIZ DE CAMARAGIBE
279;OLIVEIRA
280;VERA CRUZ
281;CANDEIAS
282;SANTA RITA DO SAPUCAI
283;QUITANDINHA
284;BARRA DO BUGRES
285;BURITIS
286;ITAPEVA
287;NOVA SERRANA
288;PARA DE MINAS
289;PERDIGAO
290;CORONEL FABRICIANO
291;TIMOTEO
292;SAO BERNARDO
293;SANTANA DO PARAISO
294;PARNAIBA
295;CEARA-MIRIM
296;JUNDIAI
297;ANANINDEUA
298;CACAPAVA DO SUL
299;CAETITE
300;PIRAI DO SUL
301;PARIQUERA-ACU
302;PRESIDENTE BERNARDES
303;MARTINOPOLIS
304;ALVARES MACHADO
305;TEODORO SAMPAIO
306;TARABAI
307;INDIANA
308;RANCHARIA
309;CIDADE OCIDENTAL
310;BOM JESUS DE GOIAS
311;CAIEIRAS
312;CRICIUMA
313;BALNEARIO GAIVOTA
314;COCAL DO SUL
315;SOMBRIO
316;PORTO SEGURO
317;SAO SEBASTIAO
318;PARAMIRIM
319;GUARAREMA
320;RIACHO DE SANTANA
321;CAXIAS DO SUL
322;BELO CAMPO
323;PONTAL
324;DIVISOPOLIS
325;ORIXIMINA
326;ARARAQUARA
327;POCOES
328;MATA VERDE
329;SAO JOAO DO PARAISO
330;ESPLANADA
331;RIO DE CONTAS
332;RONDON DO PARA
333;CARUARU
334;ABADIA DOS DOURADOS
335;COCAL
336;MULUNGU DO MORRO
337;DAVINOPOLIS
338;ITABIRITO
339;GAVIAO
340;BUENOPOLIS
341;COSMOPOLIS
342;NOVA ODESSA
343;PORTEIRINHA
344;AGUAS LINDAS DE GOIAS
345;IRATI
346;IBIRITE
347;PLANALTO
348;ROLIM DE MOURA
349;ITAPIUNA
350;SANTA BARBARA DO SUL
351;ITATIRA
352;SARANDI
353;MOGI-GUACU
354;NOVA PETROPOLIS
355;CHAPECO
356;SAO JOSE DOS PINHAIS
357;SAO BORJA
358;TAUBATE
359;RIBEIRAO PRETO
360;BARRA DO GARCAS
361;JOINVILLE
362;PATOS DE MINAS
363;COELHO NETO
364;IPIRANGA DO PIAUI
365;OEIRAS DO PARA
366;AGUA PRETA
367;IGARAPE-ACU
368;DESCOBERTO
369;NOVO HORIZONTE DO NORTE
370;BRUMADO
371;ANAPOLIS
372;MACAUBAS
373;POCOS DE CALDAS
374;TARUMIRIM
375;JAGUARE
376;MACEIO
377;SANTAREM
378;ITAPECERICA DA SERRA
379;BARUERI
380;MUNDO NOVO
381;BOCAIUVA
382;ILHABELA
383;CAAPORA
384;PELOTAS
385;MINISTRO ANDREAZZA
386;MAMBAI
387;IACIARA
388;FERNANDES TOURINHO
389;MURIAE
390;CARPINA
391;GUARULHOS
392;TERESINA
393;NOVO HAMBURGO
394;BRAGANCA
395;ABREU E LIMA
396;OLINDA
397;CAMPO NOVO DO PARECIS
398;RIO VERDE
399;ALVORADA
400;CAPAO DA CANOA
401;TEOTONIO VILELA
402;IPERO
403;TATUI
404;PORTO FRANCO
405;CAPANEMA
406;TAUA
407;CAMBORIU
408;SANTO AMARO DA IMPERATRIZ
409;GLORIA DO GOITA
410;VOLTA REDONDA
411;VERMELHO NOVO
412;VERTENTES
413;LIVRAMENTO DE NOSSA SENHORA
414;ORLANDIA
415;MORRO AGUDO
416;MANTENA
417;GUAMARE
418;ESPINOSA
419;URANDI
420;TREZE DE MAIO
421;PASSO DE TORRES
422;JACARACI
423;TIETE
424;GUARAPUAVA
425;SANTA MARIA DO CAMBUCA
426;REGISTRO
427;PEDRO LEOPOLDO
428;ITUVERAVA
429;GUARA
430;ALTA FLORESTA D OESTE
431;SAO CRISTOVAO
432;CAUCAIA
433;RIO BRANCO
434;TOCANTINS
435;VIRGINOPOLIS
436;CABO FRIO
437;NOVA FRIBURGO
438;SANTO ANASTACIO
439;VOTUPORANGA
440;ITAPIPOCA
441;CRUZ ALTA
442;FAZENDA RIO GRANDE
443;SAO ROQUE
444;REBOUCAS
445;JAGUAPITA
446;MONTE SANTO
447;PINDAMONHANGABA
448;ESTEIO
449;SANTA TEREZINHA DE ITAIPU
450;SAO GABRIEL
451;SAO JOAO DA BOA VISTA
452;TANQUE NOVO
453;ESPERANTINA
454;LUZILANDIA
455;LIMOEIRO DO NORTE
456;OLIVEIRA DOS BREJINHOS
457;SERRA PRETA
458;SANTA BARBARA
459;IRARA
460;CORACAO DE MARIA
461;PORTO FELIZ
462;JUAZEIRO DO NORTE
463;SAO LOURENCO DA MATA
464;MANDIRITUBA
465;DIONISIO CERQUEIRA
466;SAO MATEUS DO SUL
467;COLOMBO
468;CAXIAS
469;JOAO PESSOA
470;GRAO MOGOL
471;SAO LOURENCO DO SUL
472;ARARA
473;BOA ESPERANCA
474;BARRAS
475;FRANCO DA ROCHA
476;MACAPA
477;ARARAS
478;SAO JOAQUIM DE BICAS
479;CAJAMAR
480;PASSAGEM FRANCA
481;CIPO
482;BARCARENA
483;SANTA CRUZ DO SUL
484;GUAPIARA
485;ITAPECURU MIRIM
486;CAMPO MOURAO
487;TAQUARACU DE MINAS
488;DOURADINA
489;PEABIRU
490;MARIALVA
491;EMILIANOPOLIS
492;QUEIMADAS
493;MIRANTE DO PARANAPANEMA
494;PINHALAO
495;IJUI
496;ARAPONGAS
497;FERNANDOPOLIS
498;MEDICILANDIA
499;ANGRA DOS REIS
500;NOVA LONDRINA
501;GUARACIABA
502;CORINTO
503;SALTO
504;SANTA MARIA DE ITABIRA
505;SAO LUIZ GONZAGA
506;SAO JOAO DE MERITI
507;SACRAMENTO
508;GUARATUBA
509;RIO LARGO
510;ITAUNA
511;MAGALHAES DE ALMEIDA
512;COTIA
513;GRAVATAI
514;PEDRA BRANCA
515;GOVERNADOR EDISON LOBAO
516;CALDAS NOVAS
517;RIACHO FRIO
518;SAO VICENTE
519;PONTAL DO PARANA
520;IPATINGA
521;SAO GONCALO
522;ABATIA
523;TUTOIA
524;NISIA FLORESTA
525;VARZEA GRANDE
526;ARCOS
527;EUNAPOLIS
528;FRONTEIRA DOS VALES
529;NOVA VENECIA
530;BOITUVA
531;TAVARES
532;SIDROLANDIA
533;IGUAPE
534;ARACATUBA
535;TARTARUGALZINHO
536;SANTANA
537;RIACHAO DAS NEVES
538;"""ESTRELA D""""OESTE"""
539;SAO JOAO DE IRACEMA
540;OUROESTE
541;"""APARECIDA D""""OESTE"""
542;CARNEIRINHO
543;JEQUIE
544;APUAREMA
545;JERICO
546;SAO JOAO DO SABUGI
547;SIMOES FILHO
548;PIQUEROBI
549;ICARA
550;POMERODE
551;"""DIAS D""""AVILA"""
552;QUIXADA
553;MATA DE SAO JOAO
554;ESTANCIA
555;BEBEDOURO
556;CAPIVARI
557;EPITACIOLANDIA
558;LAGOA SANTA
559;CRISTAL
560;SAPUCAIA DO SUL
561;ALTAMIRA
562;SUZANO
563;MARIA HELENA
564;OURO VERDE
565;ESMERALDAS
566;CARLINDA
567;DIANOPOLIS
568;CARMO DO CAJURU
569;PARAISO DO TOCANTINS
570;ITAGI
571;MARACAS
572;ITAGIBA
573;TUPA
574;TEIXEIRA DE FREITAS
575;CAMBE
576;GUIRATINGA
